"Index","Description","Group 1","Value Column Name","Value"
"21","Total assets","Three Months Ended","Dec 26 2020 (3Months)","8962"
"21","Total assets","Three Months Ended","Sep 26 2020 (3Months)","7023"
"21","Total assets","Three Months Ended","Dec 28 2019 (3Months)","6028"
"21","Total assets","Year Ended","Dec 26 2020 Year End","8962"
"21","Total assets","Year Ended","Dec 28 2019 Year End","6028"
"12","Net revenue","Three Months Ended","Dec 26 2020 (3Months)","3244"
"12","Net revenue","Three Months Ended","Sep 26 2020 (3Months)","2801"
"12","Net revenue","Three Months Ended","Dec 28 2019 (3Months)","2127"
"12","Net revenue","Year Ended","Dec 26 2020 Year End","9763"
"12","Net revenue","Year Ended","Dec 28 2019 Year End","6730.8"
"19","Cash, cash equivalents and short-term investments","Three Months Ended","Dec 26 2020 (3Months)","2290"
"19","Cash, cash equivalents and short-term investments","Three Months Ended","Sep 26 2020 (3Months)","1771"
"19","Cash, cash equivalents and short-term investments","Three Months Ended","Dec 28 2019 (3Months)","1503"
"19","Cash, cash equivalents and short-term investments","Year Ended","Dec 26 2020 Year End","2290"
"19","Cash, cash equivalents and short-term investments","Year Ended","Dec 28 2019 Year End","1503"
"3","Net revenue","Three Months Ended","Dec 26 2020 (3Months)","1960"
"3","Net revenue","Three Months Ended","Sep 26 2020 (3Months)","1667"
"3","Net revenue","Three Months Ended","Dec 28 2019 (3Months)","1662"
"3","Net revenue","Year Ended","Dec 26 2020 Year End","6432"
"3","Net revenue","Year Ended","Dec 28 2019 Year End","4708.8"
"6","Net revenue","Three Months Ended","Dec 26 2020 (3Months)","1284"
"6","Net revenue","Three Months Ended","Sep 26 2020 (3Months)","1134"
"6","Net revenue","Three Months Ended","Dec 28 2019 (3Months)","465"
"6","Net revenue","Year Ended","Dec 26 2020 Year End","3331"
"6","Net revenue","Year Ended","Dec 28 2019 Year End","2022"
"18","Adjusted EBITDA","Three Months Ended","Dec 26 2020 (3Months)","753"
"18","Adjusted EBITDA","Three Months Ended","Sep 26 2020 (3Months)","607"
"18","Adjusted EBITDA","Three Months Ended","Dec 28 2019 (3Months)","469"
"18","Adjusted EBITDA","Year Ended","Dec 26 2020 Year End","1969"
"18","Adjusted EBITDA","Year Ended","Dec 28 2019 Year End","1062"
"13","Operating income","Three Months Ended","Dec 26 2020 (3Months)","570"
"13","Operating income","Three Months Ended","Sep 26 2020 (3Months)","449"
"13","Operating income","Three Months Ended","Dec 28 2019 (3Months)","348"
"13","Operating income","Year Ended","Dec 26 2020 Year End","1369"
"13","Operating income","Year Ended","Dec 28 2019 Year End","631"
"20","Free cash flow","Three Months Ended","Dec 26 2020 (3Months)","480"
"20","Free cash flow","Three Months Ended","Sep 26 2020 (3Months)","265"
"20","Free cash flow","Three Months Ended","Dec 28 2019 (3Months)","400"
"20","Free cash flow","Year Ended","Dec 26 2020 Year End","777"
"20","Free cash flow","Year Ended","Dec 28 2019 Year End","276"
"4","Operating income","Three Months Ended","Dec 26 2020 (3Months)","420"
"4","Operating income","Three Months Ended","Sep 26 2020 (3Months)","384"
"4","Operating income","Three Months Ended","Dec 28 2019 (3Months)","360"
"4","Operating income","Year Ended","Dec 26 2020 Year End","1266"
"4","Operating income","Year Ended","Dec 28 2019 Year End","577"
"22","Total debt","Three Months Ended","Dec 26 2020 (3Months)","330"
"22","Total debt","Three Months Ended","Sep 26 2020 (3Months)","373"
"22","Total debt","Three Months Ended","Dec 28 2019 (3Months)","486"
"22","Total debt","Year Ended","Dec 26 2020 Year End","330"
"22","Total debt","Year Ended","Dec 28 2019 Year End","486"
"7","Operating income","Three Months Ended","Dec 26 2020 (3Months)","243"
"7","Operating income","Three Months Ended","Sep 26 2020 (3Months)","141"
"7","Operating income","Three Months Ended","Dec 28 2019 (3Months)","45"
"7","Operating income","Year Ended","Dec 26 2020 Year End","391"
"7","Operating income","Year Ended","Dec 28 2019 Year End","263"
"17","Capital expenditures","Three Months Ended","Dec 26 2020 (3Months)","74"
"17","Capital expenditures","Three Months Ended","Sep 26 2020 (3Months)","74"
"17","Capital expenditures","Three Months Ended","Dec 28 2019 (3Months)","42"
"17","Capital expenditures","Year Ended","Dec 26 2020 Year End","294"
"17","Capital expenditures","Year Ended","Dec 28 2019 Year End","217"
"9","Net revenue","Three Months Ended","Dec 26 2020 (3Months)","0"
"9","Net revenue","Three Months Ended","Sep 26 2020 (3Months)","0"
"9","Net revenue","Three Months Ended","Dec 28 2019 (3Months)","0"
"9","Net revenue","Year Ended","Dec 26 2020 Year End","0"
"9","Net revenue","Year Ended","Dec 28 2019 Year End","0"
"(Blank)","","Three Months Ended","Dec 26 2020 (3Months)",
"(Blank)","","Three Months Ended","Sep 26 2020 (3Months)",
"(Blank)","","Three Months Ended","Dec 28 2019 (3Months)",
"(Blank)","","Year Ended","Dec 26 2020 Year End",
"(Blank)","","Year Ended","Dec 28 2019 Year End",
"1","Segment and Category Information","Three Months Ended","Dec 26 2020 (3Months)",
"1","Segment and Category Information","Three Months Ended","Sep 26 2020 (3Months)",
"1","Segment and Category Information","Three Months Ended","Dec 28 2019 (3Months)",
"1","Segment and Category Information","Year Ended","Dec 26 2020 Year End",
"1","Segment and Category Information","Year Ended","Dec 28 2019 Year End",
"2","Computing and Graphics","Three Months Ended","Dec 26 2020 (3Months)",
"2","Computing and Graphics","Three Months Ended","Sep 26 2020 (3Months)",
"2","Computing and Graphics","Three Months Ended","Dec 28 2019 (3Months)",
"2","Computing and Graphics","Year Ended","Dec 26 2020 Year End",
"2","Computing and Graphics","Year Ended","Dec 28 2019 Year End",
"5","Enterprise, Embedded and Semi-Custom","Three Months Ended","Dec 26 2020 (3Months)",
"5","Enterprise, Embedded and Semi-Custom","Three Months Ended","Sep 26 2020 (3Months)",
"5","Enterprise, Embedded and Semi-Custom","Three Months Ended","Dec 28 2019 (3Months)",
"5","Enterprise, Embedded and Semi-Custom","Year Ended","Dec 26 2020 Year End",
"5","Enterprise, Embedded and Semi-Custom","Year Ended","Dec 28 2019 Year End",
"8","All Other","Three Months Ended","Dec 26 2020 (3Months)",
"8","All Other","Three Months Ended","Sep 26 2020 (3Months)",
"8","All Other","Three Months Ended","Dec 28 2019 (3Months)",
"8","All Other","Year Ended","Dec 26 2020 Year End",
"8","All Other","Year Ended","Dec 28 2019 Year End",
"11","Total","Three Months Ended","Dec 26 2020 (3Months)",
"11","Total","Three Months Ended","Sep 26 2020 (3Months)",
"11","Total","Three Months Ended","Dec 28 2019 (3Months)",
"11","Total","Year Ended","Dec 26 2020 Year End",
"11","Total","Year Ended","Dec 28 2019 Year End",
"14","","Three Months Ended","Dec 26 2020 (3Months)",
"14","","Three Months Ended","Sep 26 2020 (3Months)",
"14","","Three Months Ended","Dec 28 2019 (3Months)",
"14","","Year Ended","Dec 26 2020 Year End",
"14","","Year Ended","Dec 28 2019 Year End",
"15","","Three Months Ended","Dec 26 2020 (3Months)",
"15","","Three Months Ended","Sep 26 2020 (3Months)",
"15","","Three Months Ended","Dec 28 2019 (3Months)",
"15","","Year Ended","Dec 26 2020 Year End",
"15","","Year Ended","Dec 28 2019 Year End",
"16","Other Data","Three Months Ended","Dec 26 2020 (3Months)",
"16","Other Data","Three Months Ended","Sep 26 2020 (3Months)",
"16","Other Data","Three Months Ended","Dec 28 2019 (3Months)",
"16","Other Data","Year Ended","Dec 26 2020 Year End",
"16","Other Data","Year Ended","Dec 28 2019 Year End",
"10","Operating loss","Three Months Ended","Dec 26 2020 (3Months)","-93"
"10","Operating loss","Three Months Ended","Sep 26 2020 (3Months)","-76"
"10","Operating loss","Three Months Ended","Dec 28 2019 (3Months)","-57"
"10","Operating loss","Year Ended","Dec 26 2020 Year End","-288"
"10","Operating loss","Year Ended","Dec 28 2019 Year End","-209"