Region,Country,Month,Value Column Name,Value
"Europe","Austria","January","PY in millions","1600000"
"Europe","Austria","January","PL in Millions","2021000"
"Europe","Austria","January","AC In  millions","2964000"
"Europe","Austria","January","AC In  millions - PY in millions","1364000"
"Europe","Austria","January","(AC In  millions - PY in millions)%","0.8525"
"Europe","Austria","January","AC In  millions - PL in Millions","943000"
"Europe","Austria","January","(AC In  millions - PL in Millions)%","0.46660069272637306"
"Europe","Austria","January","PL in Millions - PY in millions","421000"
"Europe","Austria","January","(PL in Millions - PY in millions)%","0.263125"
"Europe","Austria","October","PY in millions","2918000"
"Europe","Austria","October","PL in Millions","3000000"
"Europe","Austria","October","AC In  millions","1986000"
"Europe","Austria","October","AC In  millions - PY in millions","-932000"
"Europe","Austria","October","(AC In  millions - PY in millions)%","-0.31939684715558603"
"Europe","Austria","October","AC In  millions - PL in Millions","-1014000"
"Europe","Austria","October","(AC In  millions - PL in Millions)%","-0.338"
"Europe","Austria","October","PL in Millions - PY in millions","82000"
"Europe","Austria","October","(PL in Millions - PY in millions)%","0.02810143934201508"
"Europe","Austria","November","PY in millions","560000"
"Europe","Austria","November","PL in Millions","590000"
"Europe","Austria","November","AC In  millions","559000"
"Europe","Austria","November","AC In  millions - PY in millions","-1000"
"Europe","Austria","November","(AC In  millions - PY in millions)%","-0.0017857142857142857"
"Europe","Austria","November","AC In  millions - PL in Millions","-31000"
"Europe","Austria","November","(AC In  millions - PL in Millions)%","-0.05254237288135592"
"Europe","Austria","November","PL in Millions - PY in millions","30000"
"Europe","Austria","November","(PL in Millions - PY in millions)%","0.05357142857142857"
"Europe","Belgium","January","PY in millions","375000"
"Europe","Belgium","January","PL in Millions","257000"
"Europe","Belgium","January","AC In  millions","136000"
"Europe","Belgium","January","AC In  millions - PY in millions","-239000"
"Europe","Belgium","January","(AC In  millions - PY in millions)%","-0.6373333333333333"
"Europe","Belgium","January","AC In  millions - PL in Millions","-121000"
"Europe","Belgium","January","(AC In  millions - PL in Millions)%","-0.47081712062256803"
"Europe","Belgium","January","PL in Millions - PY in millions","-118000"
"Europe","Belgium","January","(PL in Millions - PY in millions)%","-0.31466666666666665"
"Europe","Belgium","October","PY in millions","100000"
"Europe","Belgium","October","PL in Millions","200000"
"Europe","Belgium","October","AC In  millions","290000"
"Europe","Belgium","October","AC In  millions - PY in millions","190000"
"Europe","Belgium","October","(AC In  millions - PY in millions)%","1.9"
"Europe","Belgium","October","AC In  millions - PL in Millions","90000"
"Europe","Belgium","October","(AC In  millions - PL in Millions)%","0.45"
"Europe","Belgium","October","PL in Millions - PY in millions","100000"
"Europe","Belgium","October","(PL in Millions - PY in millions)%","1"
"Europe","Belgium","November","PY in millions","56000"
"Europe","Belgium","November","PL in Millions","72000"
"Europe","Belgium","November","AC In  millions","58000"
"Europe","Belgium","November","AC In  millions - PY in millions","2000"
"Europe","Belgium","November","(AC In  millions - PY in millions)%","0.03571428571428571"
"Europe","Belgium","November","AC In  millions - PL in Millions","-14000"
"Europe","Belgium","November","(AC In  millions - PL in Millions)%","-0.19444444444444448"
"Europe","Belgium","November","PL in Millions - PY in millions","16000"
"Europe","Belgium","November","(PL in Millions - PY in millions)%","0.2857142857142857"
"Europe","France","January","PY in millions","350000"
"Europe","France","January","PL in Millions","539000"
"Europe","France","January","AC In  millions","134000"
"Europe","France","January","AC In  millions - PY in millions","-216000"
"Europe","France","January","(AC In  millions - PY in millions)%","-0.6171428571428571"
"Europe","France","January","AC In  millions - PL in Millions","-405000"
"Europe","France","January","(AC In  millions - PL in Millions)%","-0.75139146567718"
"Europe","France","January","PL in Millions - PY in millions","189000"
"Europe","France","January","(PL in Millions - PY in millions)%","0.54"
"Europe","France","October","PY in millions","800000"
"Europe","France","October","PL in Millions","800000"
"Europe","France","October","AC In  millions","520000"
"Europe","France","October","AC In  millions - PY in millions","-280000"
"Europe","France","October","(AC In  millions - PY in millions)%","-0.35"
"Europe","France","October","AC In  millions - PL in Millions","-280000"
"Europe","France","October","(AC In  millions - PL in Millions)%","-0.35"
"Europe","France","October","PL in Millions - PY in millions","0"
"Europe","France","October","(PL in Millions - PY in millions)%","0"
"Europe","France","November","PY in millions","140000"
"Europe","France","November","PL in Millions","149000"
"Europe","France","November","AC In  millions","134000"
"Europe","France","November","AC In  millions - PY in millions","-6000"
"Europe","France","November","(AC In  millions - PY in millions)%","-0.04285714285714286"
"Europe","France","November","AC In  millions - PL in Millions","-15000"
"Europe","France","November","(AC In  millions - PL in Millions)%","-0.10067114093959731"
"Europe","France","November","PL in Millions - PY in millions","9000"
"Europe","France","November","(PL in Millions - PY in millions)%","0.06428571428571428"
"Europe","Germany","January","PY in millions","1500000"
"Europe","Germany","January","PL in Millions","1600000"
"Europe","Germany","January","AC In  millions","1000000"
"Europe","Germany","January","AC In  millions - PY in millions","-500000"
"Europe","Germany","January","(AC In  millions - PY in millions)%","-0.33333333333333326"
"Europe","Germany","January","AC In  millions - PL in Millions","-600000"
"Europe","Germany","January","(AC In  millions - PL in Millions)%","-0.375"
"Europe","Germany","January","PL in Millions - PY in millions","100000"
"Europe","Germany","January","(PL in Millions - PY in millions)%","0.06666666666666667"
"Europe","Germany","October","PY in millions","1279000"
"Europe","Germany","October","PL in Millions","936000"
"Europe","Germany","October","AC In  millions","1590000"
"Europe","Germany","October","AC In  millions - PY in millions","311000"
"Europe","Germany","October","(AC In  millions - PY in millions)%","0.24315871774824083"
"Europe","Germany","October","AC In  millions - PL in Millions","654000"
"Europe","Germany","October","(AC In  millions - PL in Millions)%","0.6987179487179486"
"Europe","Germany","October","PL in Millions - PY in millions","-343000"
"Europe","Germany","October","(PL in Millions - PY in millions)%","-0.26817826426896013"
"Europe","Germany","November","PY in millions","345000"
"Europe","Germany","November","PL in Millions","279000"
"Europe","Germany","November","AC In  millions","260000"
"Europe","Germany","November","AC In  millions - PY in millions","-85000"
"Europe","Germany","November","(AC In  millions - PY in millions)%","-0.24637681159420294"
"Europe","Germany","November","AC In  millions - PL in Millions","-19000"
"Europe","Germany","November","(AC In  millions - PL in Millions)%","-0.06810035842293907"
"Europe","Germany","November","PL in Millions - PY in millions","-66000"
"Europe","Germany","November","(PL in Millions - PY in millions)%","-0.19130434782608696"
"Europe","Poland","January","PY in millions","438000"
"Europe","Poland","January","PL in Millions","227000"
"Europe","Poland","January","AC In  millions","200000"
"Europe","Poland","January","AC In  millions - PY in millions","-238000"
"Europe","Poland","January","(AC In  millions - PY in millions)%","-0.54337899543379"
"Europe","Poland","January","AC In  millions - PL in Millions","-27000"
"Europe","Poland","January","(AC In  millions - PL in Millions)%","-0.11894273127753303"
"Europe","Poland","January","PL in Millions - PY in millions","-211000"
"Europe","Poland","January","(PL in Millions - PY in millions)%","-0.4817351598173516"
"Europe","Poland","October","PY in millions","300000"
"Europe","Poland","October","PL in Millions","500000"
"Europe","Poland","October","AC In  millions","568000"
"Europe","Poland","October","AC In  millions - PY in millions","268000"
"Europe","Poland","October","(AC In  millions - PY in millions)%","0.8933333333333333"
"Europe","Poland","October","AC In  millions - PL in Millions","68000"
"Europe","Poland","October","(AC In  millions - PL in Millions)%","0.136"
"Europe","Poland","October","PL in Millions - PY in millions","200000"
"Europe","Poland","October","(PL in Millions - PY in millions)%","0.6666666666666665"
"Europe","Poland","November","PY in millions","78000"
"Europe","Poland","November","PL in Millions","91000"
"Europe","Poland","November","AC In  millions","86000"
"Europe","Poland","November","AC In  millions - PY in millions","8000"
"Europe","Poland","November","(AC In  millions - PY in millions)%","0.10256410256410256"
"Europe","Poland","November","AC In  millions - PL in Millions","-5000"
"Europe","Poland","November","(AC In  millions - PL in Millions)%","-0.054945054945054944"
"Europe","Poland","November","PL in Millions - PY in millions","13000"
"Europe","Poland","November","(PL in Millions - PY in millions)%","0.16666666666666663"
"Europe","Sweden","January","PY in millions","332000"
"Europe","Sweden","January","PL in Millions","190000"
"Europe","Sweden","January","AC In  millions","428000"
"Europe","Sweden","January","AC In  millions - PY in millions","96000"
"Europe","Sweden","January","(AC In  millions - PY in millions)%","0.2891566265060241"
"Europe","Sweden","January","AC In  millions - PL in Millions","238000"
"Europe","Sweden","January","(AC In  millions - PL in Millions)%","1.2526315789473683"
"Europe","Sweden","January","PL in Millions - PY in millions","-142000"
"Europe","Sweden","January","(PL in Millions - PY in millions)%","-0.4277108433734939"
"Europe","Sweden","October","PY in millions","400000"
"Europe","Sweden","October","PL in Millions","451000"
"Europe","Sweden","October","AC In  millions","250000"
"Europe","Sweden","October","AC In  millions - PY in millions","-150000"
"Europe","Sweden","October","(AC In  millions - PY in millions)%","-0.375"
"Europe","Sweden","October","AC In  millions - PL in Millions","-201000"
"Europe","Sweden","October","(AC In  millions - PL in Millions)%","-0.44567627494456763"
"Europe","Sweden","October","PL in Millions - PY in millions","51000"
"Europe","Sweden","October","(PL in Millions - PY in millions)%","0.1275"
"Europe","Sweden","November","PY in millions","77000"
"Europe","Sweden","November","PL in Millions","81000"
"Europe","Sweden","November","AC In  millions","86000"
"Europe","Sweden","November","AC In  millions - PY in millions","9000"
"Europe","Sweden","November","(AC In  millions - PY in millions)%","0.11688311688311687"
"Europe","Sweden","November","AC In  millions - PL in Millions","5000"
"Europe","Sweden","November","(AC In  millions - PL in Millions)%","0.06172839506172839"
"Europe","Sweden","November","PL in Millions - PY in millions","4000"
"Europe","Sweden","November","(PL in Millions - PY in millions)%","0.051948051948051945"
"Europe","Switzerland","January","PY in millions","243000"
"Europe","Switzerland","January","PL in Millions","300000"
"Europe","Switzerland","January","AC In  millions","432000"
"Europe","Switzerland","January","AC In  millions - PY in millions","189000"
"Europe","Switzerland","January","(AC In  millions - PY in millions)%","0.7777777777777779"
"Europe","Switzerland","January","AC In  millions - PL in Millions","132000"
"Europe","Switzerland","January","(AC In  millions - PL in Millions)%","0.44"
"Europe","Switzerland","January","PL in Millions - PY in millions","57000"
"Europe","Switzerland","January","(PL in Millions - PY in millions)%","0.2345679012345679"
"Europe","Switzerland","October","PY in millions","300000"
"Europe","Switzerland","October","PL in Millions","212000"
"Europe","Switzerland","October","AC In  millions","180000"
"Europe","Switzerland","October","AC In  millions - PY in millions","-120000"
"Europe","Switzerland","October","(AC In  millions - PY in millions)%","-0.4"
"Europe","Switzerland","October","AC In  millions - PL in Millions","-32000"
"Europe","Switzerland","October","(AC In  millions - PL in Millions)%","-0.1509433962264151"
"Europe","Switzerland","October","PL in Millions - PY in millions","-88000"
"Europe","Switzerland","October","(PL in Millions - PY in millions)%","-0.29333333333333333"
"Europe","Switzerland","November","PY in millions","61000"
"Europe","Switzerland","November","PL in Millions","70000"
"Europe","Switzerland","November","AC In  millions","66000"
"Europe","Switzerland","November","AC In  millions - PY in millions","5000"
"Europe","Switzerland","November","(AC In  millions - PY in millions)%","0.08196721311475409"
"Europe","Switzerland","November","AC In  millions - PL in Millions","-4000"
"Europe","Switzerland","November","(AC In  millions - PL in Millions)%","-0.05714285714285714"
"Europe","Switzerland","November","PL in Millions - PY in millions","9000"
"Europe","Switzerland","November","(PL in Millions - PY in millions)%","0.14754098360655737"
"Europe","Other","January","PY in millions","3235000"
"Europe","Other","January","PL in Millions","3000000"
"Europe","Other","January","AC In  millions","1500000"
"Europe","Other","January","AC In  millions - PY in millions","-1735000"
"Europe","Other","January","(AC In  millions - PY in millions)%","-0.5363214837712519"
"Europe","Other","January","AC In  millions - PL in Millions","-1500000"
"Europe","Other","January","(AC In  millions - PL in Millions)%","-0.5"
"Europe","Other","January","PL in Millions - PY in millions","-235000"
"Europe","Other","January","(PL in Millions - PY in millions)%","-0.07264296754250386"
"Europe","Other","October","PY in millions","1865000"
"Europe","Other","October","PL in Millions","2524000"
"Europe","Other","October","AC In  millions","3396000"
"Europe","Other","October","AC In  millions - PY in millions","1531000"
"Europe","Other","October","(AC In  millions - PY in millions)%","0.820911528150134"
"Europe","Other","October","AC In  millions - PL in Millions","872000"
"Europe","Other","October","(AC In  millions - PL in Millions)%","0.34548335974643424"
"Europe","Other","October","PL in Millions - PY in millions","659000"
"Europe","Other","October","(PL in Millions - PY in millions)%","0.3533512064343164"
"Europe","Other","November","PY in millions","502000"
"Europe","Other","November","PL in Millions","498000"
"Europe","Other","November","AC In  millions","545000"
"Europe","Other","November","AC In  millions - PY in millions","43000"
"Europe","Other","November","(AC In  millions - PY in millions)%","0.08565737051792828"
"Europe","Other","November","AC In  millions - PL in Millions","47000"
"Europe","Other","November","(AC In  millions - PL in Millions)%","0.09437751004016065"
"Europe","Other","November","PL in Millions - PY in millions","-4000"
"Europe","Other","November","(PL in Millions - PY in millions)%","-0.00796812749003984"
"Americas","Brazil","January","PY in millions","686000"
"Americas","Brazil","January","PL in Millions","245000"
"Americas","Brazil","January","AC In  millions","593000"
"Americas","Brazil","January","AC In  millions - PY in millions","-93000"
"Americas","Brazil","January","(AC In  millions - PY in millions)%","-0.13556851311953352"
"Americas","Brazil","January","AC In  millions - PL in Millions","348000"
"Americas","Brazil","January","(AC In  millions - PL in Millions)%","1.420408163265306"
"Americas","Brazil","January","PL in Millions - PY in millions","-441000"
"Americas","Brazil","January","(PL in Millions - PY in millions)%","-0.6428571428571429"
"Americas","Brazil","October","PY in millions","400000"
"Americas","Brazil","October","PL in Millions","900000"
"Americas","Brazil","October","AC In  millions","600000"
"Americas","Brazil","October","AC In  millions - PY in millions","200000"
"Americas","Brazil","October","(AC In  millions - PY in millions)%","0.5"
"Americas","Brazil","October","AC In  millions - PL in Millions","-300000"
"Americas","Brazil","October","(AC In  millions - PL in Millions)%","-0.33333333333333326"
"Americas","Brazil","October","PL in Millions - PY in millions","500000"
"Americas","Brazil","October","(PL in Millions - PY in millions)%","1.25"
"Americas","Brazil","November","PY in millions","119000"
"Americas","Brazil","November","PL in Millions","109000"
"Americas","Brazil","November","AC In  millions","121000"
"Americas","Brazil","November","AC In  millions - PY in millions","2000"
"Americas","Brazil","November","(AC In  millions - PY in millions)%","0.01680672268907563"
"Americas","Brazil","November","AC In  millions - PL in Millions","12000"
"Americas","Brazil","November","(AC In  millions - PL in Millions)%","0.11009174311926608"
"Americas","Brazil","November","PL in Millions - PY in millions","-10000"
"Americas","Brazil","November","(PL in Millions - PY in millions)%","-0.08403361344537816"
"Americas","Canada","January","PY in millions","200000"
"Americas","Canada","January","PL in Millions","300000"
"Americas","Canada","January","AC In  millions","359000"
"Americas","Canada","January","AC In  millions - PY in millions","159000"
"Americas","Canada","January","(AC In  millions - PY in millions)%","0.795"
"Americas","Canada","January","AC In  millions - PL in Millions","59000"
"Americas","Canada","January","(AC In  millions - PL in Millions)%","0.19666666666666666"
"Americas","Canada","January","PL in Millions - PY in millions","100000"
"Americas","Canada","January","(PL in Millions - PY in millions)%","0.5"
"Americas","Canada","October","PY in millions","364000"
"Americas","Canada","October","PL in Millions","285000"
"Americas","Canada","October","AC In  millions","300000"
"Americas","Canada","October","AC In  millions - PY in millions","-64000"
"Americas","Canada","October","(AC In  millions - PY in millions)%","-0.17582417582417584"
"Americas","Canada","October","AC In  millions - PL in Millions","15000"
"Americas","Canada","October","(AC In  millions - PL in Millions)%","0.05263157894736842"
"Americas","Canada","October","PL in Millions - PY in millions","-79000"
"Americas","Canada","October","(PL in Millions - PY in millions)%","-0.21703296703296704"
"Americas","Canada","November","PY in millions","65000"
"Americas","Canada","November","PL in Millions","71000"
"Americas","Canada","November","AC In  millions","59000"
"Americas","Canada","November","AC In  millions - PY in millions","-6000"
"Americas","Canada","November","(AC In  millions - PY in millions)%","-0.09230769230769231"
"Americas","Canada","November","AC In  millions - PL in Millions","-12000"
"Americas","Canada","November","(AC In  millions - PL in Millions)%","-0.16901408450704225"
"Americas","Canada","November","PL in Millions - PY in millions","6000"
"Americas","Canada","November","(PL in Millions - PY in millions)%","0.09230769230769231"
"Americas","USA","January","PY in millions","1500000"
"Americas","USA","January","PL in Millions","1198000"
"Americas","USA","January","AC In  millions","1928000"
"Americas","USA","January","AC In  millions - PY in millions","428000"
"Americas","USA","January","(AC In  millions - PY in millions)%","0.2853333333333333"
"Americas","USA","January","AC In  millions - PL in Millions","730000"
"Americas","USA","January","(AC In  millions - PL in Millions)%","0.6093489148580968"
"Americas","USA","January","PL in Millions - PY in millions","-302000"
"Americas","USA","January","(PL in Millions - PY in millions)%","-0.20133333333333334"
"Americas","USA","October","PY in millions","1560000"
"Americas","USA","October","PL in Millions","1600000"
"Americas","USA","October","AC In  millions","1000000"
"Americas","USA","October","AC In  millions - PY in millions","-560000"
"Americas","USA","October","(AC In  millions - PY in millions)%","-0.358974358974359"
"Americas","USA","October","AC In  millions - PL in Millions","-600000"
"Americas","USA","October","(AC In  millions - PL in Millions)%","-0.375"
"Americas","USA","October","PL in Millions - PY in millions","40000"
"Americas","USA","October","(PL in Millions - PY in millions)%","0.02564102564102564"
"Americas","USA","November","PY in millions","346000"
"Americas","USA","November","PL in Millions","326000"
"Americas","USA","November","AC In  millions","311000"
"Americas","USA","November","AC In  millions - PY in millions","-35000"
"Americas","USA","November","(AC In  millions - PY in millions)%","-0.10115606936416185"
"Americas","USA","November","AC In  millions - PL in Millions","-15000"
"Americas","USA","November","(AC In  millions - PL in Millions)%","-0.046012269938650305"
"Americas","USA","November","PL in Millions - PY in millions","-20000"
"Americas","USA","November","(PL in Millions - PY in millions)%","-0.057803468208092484"
"Americas","Other","January","PY in millions","1293000"
"Americas","Other","January","PL in Millions","1918000"
"Americas","Other","January","AC In  millions","2009000"
"Americas","Other","January","AC In  millions - PY in millions","716000"
"Americas","Other","January","(AC In  millions - PY in millions)%","0.5537509667440061"
"Americas","Other","January","AC In  millions - PL in Millions","91000"
"Americas","Other","January","(AC In  millions - PL in Millions)%","0.047445255474452545"
"Americas","Other","January","PL in Millions - PY in millions","625000"
"Americas","Other","January","(PL in Millions - PY in millions)%","0.4833720030935808"
"Americas","Other","October","PY in millions","2435000"
"Americas","Other","October","PL in Millions","1900000"
"Americas","Other","October","AC In  millions","1600000"
"Americas","Other","October","AC In  millions - PY in millions","-835000"
"Americas","Other","October","(AC In  millions - PY in millions)%","-0.34291581108829566"
"Americas","Other","October","AC In  millions - PL in Millions","-300000"
"Americas","Other","October","(AC In  millions - PL in Millions)%","-0.15789473684210525"
"Americas","Other","October","PL in Millions - PY in millions","-535000"
"Americas","Other","October","(PL in Millions - PY in millions)%","-0.21971252566735114"
"Americas","Other","November","PY in millions","438000"
"Americas","Other","November","PL in Millions","401000"
"Americas","Other","November","AC In  millions","399000"
"Americas","Other","November","AC In  millions - PY in millions","-39000"
"Americas","Other","November","(AC In  millions - PY in millions)%","-0.08904109589041095"
"Americas","Other","November","AC In  millions - PL in Millions","-2000"
"Americas","Other","November","(AC In  millions - PL in Millions)%","-0.004987531172069825"
"Americas","Other","November","PL in Millions - PY in millions","-37000"
"Americas","Other","November","(PL in Millions - PY in millions)%","-0.08447488584474887"
"Rest of the world","Australia","January","PY in millions","313000"
"Rest of the world","Australia","January","PL in Millions","343000"
"Rest of the world","Australia","January","AC In  millions","226000"
"Rest of the world","Australia","January","AC In  millions - PY in millions","-87000"
"Rest of the world","Australia","January","(AC In  millions - PY in millions)%","-0.2779552715654952"
"Rest of the world","Australia","January","AC In  millions - PL in Millions","-117000"
"Rest of the world","Australia","January","(AC In  millions - PL in Millions)%","-0.34110787172011664"
"Rest of the world","Australia","January","PL in Millions - PY in millions","30000"
"Rest of the world","Australia","January","(PL in Millions - PY in millions)%","0.09584664536741214"
"Rest of the world","Australia","October","PY in millions","150000"
"Rest of the world","Australia","October","PL in Millions","200000"
"Rest of the world","Australia","October","AC In  millions","300000"
"Rest of the world","Australia","October","AC In  millions - PY in millions","150000"
"Rest of the world","Australia","October","(AC In  millions - PY in millions)%","1"
"Rest of the world","Australia","October","AC In  millions - PL in Millions","100000"
"Rest of the world","Australia","October","(AC In  millions - PL in Millions)%","0.5"
"Rest of the world","Australia","October","PL in Millions - PY in millions","50000"
"Rest of the world","Australia","October","(PL in Millions - PY in millions)%","0.33333333333333326"
"Rest of the world","Australia","November","PY in millions","54000"
"Rest of the world","Australia","November","PL in Millions","66000"
"Rest of the world","Australia","November","AC In  millions","62000"
"Rest of the world","Australia","November","AC In  millions - PY in millions","8000"
"Rest of the world","Australia","November","(AC In  millions - PY in millions)%","0.14814814814814814"
"Rest of the world","Australia","November","AC In  millions - PL in Millions","-4000"
"Rest of the world","Australia","November","(AC In  millions - PL in Millions)%","-0.06060606060606061"
"Rest of the world","Australia","November","PL in Millions - PY in millions","12000"
"Rest of the world","Australia","November","(PL in Millions - PY in millions)%","0.2222222222222222"
"Rest of the world","China","January","PY in millions","868000"
"Rest of the world","China","January","PL in Millions","721000"
"Rest of the world","China","January","AC In  millions","268000"
"Rest of the world","China","January","AC In  millions - PY in millions","-600000"
"Rest of the world","China","January","(AC In  millions - PY in millions)%","-0.6912442396313364"
"Rest of the world","China","January","AC In  millions - PL in Millions","-453000"
"Rest of the world","China","January","(AC In  millions - PL in Millions)%","-0.6282940360610264"
"Rest of the world","China","January","PL in Millions - PY in millions","-147000"
"Rest of the world","China","January","(PL in Millions - PY in millions)%","-0.1693548387096774"
"Rest of the world","China","October","PY in millions","973000"
"Rest of the world","China","October","PL in Millions","1000000"
"Rest of the world","China","October","AC In  millions","1900000"
"Rest of the world","China","October","AC In  millions - PY in millions","927000"
"Rest of the world","China","October","(AC In  millions - PY in millions)%","0.9527235354573484"
"Rest of the world","China","October","AC In  millions - PL in Millions","900000"
"Rest of the world","China","October","(AC In  millions - PL in Millions)%","0.9"
"Rest of the world","China","October","PL in Millions - PY in millions","27000"
"Rest of the world","China","October","(PL in Millions - PY in millions)%","0.02774922918807811"
"Rest of the world","China","November","PY in millions","266000"
"Rest of the world","China","November","PL in Millions","204000"
"Rest of the world","China","November","AC In  millions","231000"
"Rest of the world","China","November","AC In  millions - PY in millions","-35000"
"Rest of the world","China","November","(AC In  millions - PY in millions)%","-0.13157894736842105"
"Rest of the world","China","November","AC In  millions - PL in Millions","27000"
"Rest of the world","China","November","(AC In  millions - PL in Millions)%","0.1323529411764706"
"Rest of the world","China","November","PL in Millions - PY in millions","-62000"
"Rest of the world","China","November","(PL in Millions - PY in millions)%","-0.23308270676691728"
"Rest of the world","Japan","January","PY in millions","29000"
"Rest of the world","Japan","January","PL in Millions","25000"
"Rest of the world","Japan","January","AC In  millions","79000"
"Rest of the world","Japan","January","AC In  millions - PY in millions","50000"
"Rest of the world","Japan","January","(AC In  millions - PY in millions)%","1.7241379310344827"
"Rest of the world","Japan","January","AC In  millions - PL in Millions","54000"
"Rest of the world","Japan","January","(AC In  millions - PL in Millions)%","2.16"
"Rest of the world","Japan","January","PL in Millions - PY in millions","-4000"
"Rest of the world","Japan","January","(PL in Millions - PY in millions)%","-0.13793103448275862"
"Rest of the world","Japan","October","PY in millions","29000"
"Rest of the world","Japan","October","PL in Millions","50000"
"Rest of the world","Japan","October","AC In  millions","54000"
"Rest of the world","Japan","October","AC In  millions - PY in millions","25000"
"Rest of the world","Japan","October","(AC In  millions - PY in millions)%","0.8620689655172413"
"Rest of the world","Japan","October","AC In  millions - PL in Millions","4000"
"Rest of the world","Japan","October","(AC In  millions - PL in Millions)%","0.08"
"Rest of the world","Japan","October","PL in Millions - PY in millions","21000"
"Rest of the world","Japan","October","(PL in Millions - PY in millions)%","0.7241379310344827"
"Rest of the world","Japan","November","PY in millions","9000"
"Rest of the world","Japan","November","PL in Millions","12000"
"Rest of the world","Japan","November","AC In  millions","11000"
"Rest of the world","Japan","November","AC In  millions - PY in millions","2000"
"Rest of the world","Japan","November","(AC In  millions - PY in millions)%","0.2222222222222222"
"Rest of the world","Japan","November","AC In  millions - PL in Millions","-1000"
"Rest of the world","Japan","November","(AC In  millions - PL in Millions)%","-0.08333333333333331"
"Rest of the world","Japan","November","PL in Millions - PY in millions","3000"
"Rest of the world","Japan","November","(PL in Millions - PY in millions)%","0.33333333333333326"
"Rest of the world","Other","January","PY in millions","224000"
"Rest of the world","Other","January","PL in Millions","888000"
"Rest of the world","Other","January","AC In  millions","1100000"
"Rest of the world","Other","January","AC In  millions - PY in millions","876000"
"Rest of the world","Other","January","(AC In  millions - PY in millions)%","3.9107142857142856"
"Rest of the world","Other","January","AC In  millions - PL in Millions","212000"
"Rest of the world","Other","January","(AC In  millions - PL in Millions)%","0.23873873873873877"
"Rest of the world","Other","January","PL in Millions - PY in millions","664000"
"Rest of the world","Other","January","(PL in Millions - PY in millions)%","2.9642857142857144"
"Rest of the world","Other","October","PY in millions","1893000"
"Rest of the world","Other","October","PL in Millions","900000"
"Rest of the world","Other","October","AC In  millions","790000"
"Rest of the world","Other","October","AC In  millions - PY in millions","-1103000"
"Rest of the world","Other","October","(AC In  millions - PY in millions)%","-0.5826730058108822"
"Rest of the world","Other","October","AC In  millions - PL in Millions","-110000"
"Rest of the world","Other","October","(AC In  millions - PL in Millions)%","-0.12222222222222222"
"Rest of the world","Other","October","PL in Millions - PY in millions","-993000"
"Rest of the world","Other","October","(PL in Millions - PY in millions)%","-0.5245641838351822"
"Rest of the world","Other","November","PY in millions","234000"
"Rest of the world","Other","November","PL in Millions","311000"
"Rest of the world","Other","November","AC In  millions","255000"
"Rest of the world","Other","November","AC In  millions - PY in millions","21000"
"Rest of the world","Other","November","(AC In  millions - PY in millions)%","0.08974358974358974"
"Rest of the world","Other","November","AC In  millions - PL in Millions","-56000"
"Rest of the world","Other","November","(AC In  millions - PL in Millions)%","-0.18006430868167203"
"Rest of the world","Other","November","PL in Millions - PY in millions","77000"
"Rest of the world","Other","November","(PL in Millions - PY in millions)%","0.329059829059829"